"name","group","element","units","context","S233206","S233207","S233208","S233209","S233210","S233211","S233212","S233213","S233214","S233215","S233216","S233217","S233218","S233219","S233220","S233221","S233222","S233223","S233224","S233225","S233226","S233227","S233228","S233229","S233230","S233231","S233232","S233233","S233234","S233235","S233236","S233237","S233238","S233239","S233240","S233241","S233242","S233243","S233244","S233245","S233246","S233247","S233248","S233249","S233250","S233251","S233252","S233253","S233254","S233255","S233256","S233257","S233258","S233259","S233260","S233261","S233262","S233263","S233264","S233265","S233266","S233267","S233268","S233269","S233270","S233271","S233272","S233273","S233274","S233275","S233276","S233277","S233278","S233279","S233280","S233281","S233282","S233283","S233284","S233285","S233286","S233287","S233288","S233289","S233290","S233291","S233292","S233293","S233294","S233295","S233296","S233297","S233298","S233299","S233300","S233301"
Angelica archangelica-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Anthemis-type,UPHE,pollen,NISP,,,,,,,1,,1,,,,,,,,3,,,1,,,1,,1,,,1,,1,,,,1,,1,,,,,,,,,,,,1,,1,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,
Anthriscus sylvestris-type,UPHE,pollen,NISP,,,1,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apiaceae,UPHE,pollen,NISP,,1,,,2,1,,,1,,,,,1,,1,1,1,,1,1,,1,,1,1,,1,1,,,,,,1,,,,1,1,,2,,,1,,,,,,,,,,,,,1,2,,,,1,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,,
Artemisia,UPHE,pollen,NISP,,3,2,3,3,5,4,4,5,5,5,4,7,3,2,6,1,1,6,6,1,3,7,6,14,16,8,4,10,8,14,11,8,14,11,11,8,21,16,10,15,9,14,16,23,8,15,11,17,15,20,15,15,7,3,11,13,3,12,11,2,,1,4,1,5,4,4,1,1,3,,2,2,3,1,2,1,,2,,1,1,,,3,1,1,,1,2,2,4,5,6,9,8
Aster-type,UPHE,pollen,NISP,,,1,,,,,,,,,,,,1,,,1,2,,,1,1,,2,1,,1,,1,,3,1,,,2,2,,,,3,1,1,,3,1,3,1,,3,3,1,1,,,1,1,,,,,1,1,1,,,,,,,1,1,,,,1,1,1,1,,,,1,,,,1,,,1,,4,,3,,,
Asteroideae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula,TRSH,pollen,NISP,,54,52,50,55,49,46,42,49,37,28,34,39,35,37,32,47,38,61,88,90,69,116,106,126,115,124,123,117,103,79,84,82,115,111,131,121,93,106,115,96,100,83,105,95,104,119,83,157,118,148,102,153,79,74,69,75,60,77,58,62,51,47,55,55,115,113,68,58,47,64,51,80,54,60,102,183,155,99,119,96,109,108,134,129,179,184,187,138,213,314,369,493,281,188,181,117
Betula cf. B. nana,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,4,,1,7,3,,,,,3,,10,1,,7,3,23,26,45,76,54,34,35,39
Brassicaceae,UPHE,pollen,NISP,,,,22,14,8,5,3,3,3,2,2,3,3,2,3,2,1,1,5,1,1,1,2,,3,,,1,1,,1,,,,,1,1,1,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callitriche,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,2,,,,,,,,
Calluna vulgaris,TRSH,pollen,NISP,,2,1,3,2,2,2,3,3,3,2,3,4,3,3,2,1,9,4,5,3,6,5,4,1,4,2,,6,1,,4,7,4,7,4,4,,3,3,3,5,5,6,2,2,3,5,5,5,11,3,4,,4,1,2,1,1,4,2,,4,,,,,4,4,2,3,2,2,,3,3,2,2,,,4,3,,2,,3,3,,,,,1,,,,,
Campanula-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carpinus,TRSH,pollen,NISP,,,3,4,6,8,10,9,12,,6,5,4,4,4,6,3,4,13,10,17,16,13,18,12,13,13,5,17,17,28,20,22,23,12,14,8,9,6,8,8,5,8,10,7,5,13,7,10,6,10,1,6,3,3,2,6,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centaurea cyanus,UPHE,pollen,NISP,,,,,,,,1,3,1,,,1,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centaurea nigra-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,1,,1,,1,2,,,,,,,,,,,3,,1,,1,1,2,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerastium-type,UPHE,pollen,NISP,,1,1,1,,,1,1,1,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
Cichorioideae,UPHE,pollen,NISP,,2,3,3,4,3,3,2,,1,3,2,1,3,2,1,3,2,1,4,1,4,2,4,1,1,2,3,1,3,2,,3,1,3,3,3,2,1,1,3,2,,4,2,,3,,1,,3,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,1,4
Cirsium,UPHE,pollen,NISP,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Cladium mariscus,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,,,1,,,,,,,1,,,,,1,,1,,,,1,,,1,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,2,,,3,1,1,1,1,,,,,,,
Cornus sanguinea,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Corylus,TRSH,pollen,NISP,,12,14,14,12,15,19,19,22,18,19,19,17,21,22,19,43,54,66,75,54,50,69,71,85,99,92,103,99,112,118,125,134,136,104,109,129,192,191,188,193,121,106,119,133,101,134,106,177,145,164,116,183,200,255,200,261,322,334,287,270,225,202,225,191,258,262,258,173,179,328,314,319,382,214,291,286,316,379,418,381,511,667,629,613,679,707,464,412,382,226,53,4,1,4,2,4
Cotoneaster-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crataegus-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2,1,,2,,5,,5,,1,,,1,,,,,,,,
Cyperaceae,UPHE,pollen,NISP,,14,16,13,16,17,14,18,17,16,19,15,13,19,17,18,18,12,12,28,18,24,33,23,31,21,16,12,27,22,29,23,26,31,32,31,20,45,31,23,30,24,22,26,25,33,37,31,41,39,29,37,39,6,8,17,16,14,9,24,11,7,8,8,10,13,5,9,16,9,12,11,10,10,7,17,16,28,6,10,4,10,5,10,7,7,18,6,20,8,12,18,15,46,59,70,69
Dryopteris cristata-type,VACR,spore,NISP,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
Dryopteris filix-mas-type,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,1,,,,,,,2,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,2,,1,1,,1,1,1,2,,,,,,,,,,,1,,1,7,3,1,1,,
Empetrum nigrum,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,2,3,18,5
Ephedra distachya-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Epilobium,UPHE,pollen,NISP,,,,,1,1,2,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equisetum,VACR,spore,NISP,,,,1,1,1,1,1,,,1,1,,1,2,,3,1,2,,,1,1,,,,,1,1,,,,1,,,,,2,1,2,,,,,1,1,,,2,,1,1,1,,1,,3,,,,1,,,,,,1,,,,,,,,,,,3,1,1,,1,,1,,,1,,,,1,,1,26,26,23,7
Ericaceae,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fagopyrum,UPHE,pollen,NISP,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fagus,TRSH,pollen,NISP,,61,58,75,72,74,79,75,64,85,108,81,64,74,79,65,76,83,82,105,66,80,97,118,139,169,149,88,99,76,68,54,36,52,37,45,34,25,29,29,24,15,10,19,13,10,17,4,15,7,12,8,4,6,7,,3,,1,5,2,2,2,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Fallopia convolvulus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filipendula,UPHE,pollen,NISP,,2,2,2,4,3,2,3,2,2,3,,,,,1,4,,5,,2,5,6,9,7,9,7,9,4,14,12,18,9,12,11,13,6,9,7,9,9,11,13,4,7,9,14,6,7,10,14,10,7,3,1,1,,1,3,1,,,1,,1,2,,1,,1,,,1,,2,,3,3,,,2,1,2,2,,,2,1,,2,8,11,2,22,22,8,5
Frangula alnus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,1,,,1,,1,1,1,,,,,,,,4,2,,,,,,,1,,,2,,,,,3,,2,,,,,,,,2,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Fraxinus,TRSH,pollen,NISP,,4,6,5,4,5,6,5,8,4,1,1,1,2,1,2,2,,2,2,2,1,2,2,11,11,4,8,10,9,8,10,13,7,6,8,8,9,15,13,12,9,6,6,12,8,10,12,8,20,18,16,28,61,67,23,44,59,83,54,28,77,56,59,25,34,35,50,52,46,49,27,25,10,6,1,2,3,3,2,1,1,,,1,,,,,,,,,,,,
Geranium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedera,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,1,,,,,,,,2,,1,2,1,1,2,4,,1,4,1,6,1,,,1,3,1,,,,,,,,,,,,,,,
Helianthemum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Humulus/Cannabis,UPHE,pollen,NISP,,2,4,3,4,2,3,2,1,1,1,1,1,1,1,2,2,13,9,14,9,23,19,30,8,7,2,6,4,3,3,8,7,1,1,5,2,8,5,6,4,7,4,3,5,5,5,3,7,5,2,,2,,,,2,,,1,,,1,1,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Hypericum perforatum-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isoëtes lacustris,AQVP,spore,NISP,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Isoëtes setacea,AQVP,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juglans,TRSH,pollen,NISP,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juniperus,TRSH,pollen,NISP,,,,1,2,2,1,2,3,6,5,7,10,5,4,12,16,7,4,2,4,1,,1,,2,,1,,1,,,,,1,2,,,3,1,,2,1,,,1,2,1,,2,,1,3,,,,,,1,,2,,1,,1,,,,,1,,1,,,,1,2,2,1,1,,1,1,,,2,1,,1,,,5,,113,319,339,29
Lemna,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linum catharticum-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linum usitatissimum-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotus-type,UPHE,pollen,NISP,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lythrum portula,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lythrum salicaria,UPHE,pollen,NISP,,,,,,,,,,,,,1,1,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mentha-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Menyanthes trifoliata,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monactinus simplex,ALGA,colony,NISP,,17,10,20,28,34,73,75,60,73,87,78,42,45,49,94,92,66,95,81,92,30,50,63,30,45,41,39,43,64,53,40,43,29,25,29,16,14,18,11,16,22,19,35,48,29,40,41,51,37,48,18,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrica,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,1,1,,,1,,1,,1,,,,,,,1,1,,3,2,,,,,,3,1,3,,3,2,1,1,,2,2,,7,,9,,5,,,4,4,,,,,,,3,1,3,,,1,,,,,,,,
Myriophyllum alterniflorum,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myriophyllum spicatum,AQVP,pollen,NISP,,,,,1,,,,1,,,,2,1,1,,,3,1,,1,1,4,3,3,1,2,2,2,1,1,,,3,,1,,,,,,,,,,1,1,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuphar,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,
Nymphaea,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,1,2,,1,,,,,,1,,,1,,1,,1,,1,,2,,,2,1,,,1,1,1,,1,2,,,,,,1,1,,1,,2,,,,1,1,1,1,1,2,1,,3,,1,,,,3,,1,1,,
Ononis-type,UPHE,pollen,NISP,,,2,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ophioglossum vulgatum,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pediastrum duplex,ALGA,colony,NISP,,47,49,43,56,61,98,115,122,113,104,97,99,97,111,67,77,176,105,767,167,96,73,144,121,90,82,145,112,174,143,277,119,73,97,171,57,54,106,122,110,140,148,163,240,481,227,190,270,226,223,131,144,29,19,18,25,18,18,10,3,,1,6,3,,4,4,2,,4,,,,,,1,1,,,,,,3,,1,,1,2,,,,,,,,
Persicaria amphibia,UPHE,pollen,NISP,,,,,,,,,,,,,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persicaria maculosa-type,UPHE,pollen,NISP,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peucedanum palustre-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,2,1,,,,2,2,,,,1,1,,,1,1,1,,,,,,,,,,,2,1,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,,
Picea,TRSH,pollen,NISP,,15,11,22,30,31,33,28,12,5,2,2,2,1,1,1,3,5,4,3,2,1,2,1,1,,,1,,3,3,1,,2,1,1,1,1,2,,,2,5,,1,2,,2,1,2,1,,2,,1,,,,1,1,,1,1,1,1,2,2,,,,1,,1,,1,,,,1,,1,,,,1,,,,,,,,,,,,
Pimpinella major-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,1,2,,1,,,,,,,2,,,,1,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,1,,,3,,,1
Pinus,TRSH,pollen,NISP,,65,68,62,64,61,68,59,57,62,77,59,65,51,46,57,60,55,64,67,64,48,69,68,42,70,53,45,52,58,33,40,36,50,58,63,36,62,44,80,68,58,52,51,79,84,72,82,118,102,131,96,116,52,57,62,53,77,51,69,31,66,70,58,60,72,86,100,88,115,140,79,93,142,131,150,239,211,208,223,239,226,239,201,209,225,350,347,396,353,427,423,376,287,252,278,114
